model,accuracy,walking_precision,walking_recall,walking_f1,macro_f1,n_folds
Ridge Classifier,0.7742513453624564,0.9639107611548555,0.692624078353692,0.7071630509180729,0.7445753142789121,3
Linear Discriminant,0.7774646520211682,0.9505678651806225,0.6997496423462088,0.7170561940071366,0.7506308289188839,3
Extra Tree,0.7531736277029264,0.8999452661873044,0.7078469645320079,0.7173556926392181,0.7233710748370804,3
KNN (k=11),0.7595008315293298,0.8992422034392306,0.6670105645427534,0.6538509902292692,0.7198174634492988,3
KNN (k=5),0.7682472702757686,0.8935788989109951,0.6662092824914714,0.6581958854477921,0.7322706099037646,3
SVM (Linear),0.7406282356890745,0.7220306729342875,0.6299066715657754,0.6456971545945526,0.709093557216955,3
Passive Aggressive,0.7420133044692764,0.7166278913695137,0.6432334653901178,0.6394439676582396,0.70411560853923,3
Extra Trees,0.7804938271604938,0.6666666666666666,0.6580829756795422,0.6623188405797101,0.7474088988046653,3
Random Forest,0.5855349794238683,0.6666666666666666,0.38698140200286124,0.425754775107825,0.5481325492212284,3
SVM (RBF),0.7619753086419753,0.6658730158730158,0.6330472103004291,0.6486079759217457,0.726360420289902,3
Quadratic Discriminant,0.7754520819250246,0.6587794678553376,0.6587982832618026,0.658782064463803,0.7412224927050689,3
MLP,0.7723967932069117,0.6521858412357607,0.6609442060085837,0.6564212743358286,0.7379950666278002,3
Nu-SVC,0.6933180346532892,0.6492842535787321,0.5486531692567848,0.5905545738159129,0.6564202289332514,3
Gaussian NB,0.7673239169364688,0.6459910909883271,0.6609472694243536,0.6533254327371975,0.7305150784700559,3
Logistic Regression,0.7572376623033042,0.6362505469239282,0.6580829756795422,0.646550398599579,0.7201292988405698,3
Gradient Boosting,0.5252729085646153,0.6298412698412698,0.34334763948497854,0.3332885304659498,0.47092607896857014,3
Hist Gradient Boosting,0.5506118879045552,0.6275992438563327,0.3798283261802575,0.3941906987649279,0.5049395981930993,3
AdaBoost,0.7421033313172282,0.6173965936739659,0.6587982832618026,0.6360845015680464,0.6985289598554981,3
XGBoost,0.5047558733885983,0.6128067025733094,0.3347639484978541,0.30688546118233617,0.44040482126169866,3
Bagging,0.501231156031028,0.6118067978533095,0.3347639484978541,0.3062927975208677,0.43756581943955836,3
SGD Classifier,0.7324739662443793,0.6041571719381399,0.6630901287553649,0.6314385113386484,0.687586631570102,3
Decision Tree,0.6083747045402504,0.5954228550229624,0.5481911899579346,0.5438683756975733,0.5541453196456839,3
